Sector	Latitude	Longitude	Azimuth	LAC	CI	Keywords
1011	18.91472	72.81944	90	25003	1011	BSC01
1012	18.91472	72.81944	220	25003	1012	BSC01
1013	18.91472	72.81944	290	25003	1013	BSC01
1014	18.91472	72.81944	300	25003	1014	BSC01
1021	18.9238	72.832	350	25003	1021	BSC20
1022	18.9238	72.832	90	25003	1022	BSC20
1023	18.9238	72.832	190	25003	1023	BSC20
1031	18.9247	72.8222	140	25002	1031	BSC01
1032	18.9247	72.8222	270	25002	1032	BSC01
1033	18.9247	72.8222	355	25002	1033	BSC01
1041	18.9311	72.8306	10	25001	1041	BSC20
1042	18.9311	72.8306	120	25001	1042	BSC20
1043	18.9311	72.8306	200	25001	1043	BSC20
1051	18.94523	72.83499	40	27011	1051	BSC11
1052	18.94523	72.83499	0	27011	1052	BSC11
1053	18.94523	72.83499	190	27011	1053	BSC11
1054	18.94523	72.83499	330	27011	1054	BSC11
1061	18.9403	72.8262	120	27027	1061	BSC15
1062	18.9403	72.8262	180	27027	1062	BSC15
1063	18.9403	72.8262	350	27027	1063	BSC15
1064	18.94171	72.82574	180	27027	1064	BSC15
1071	19.14933	72.83743	90	33003	1071	BSC63
1072	19.14933	72.83743	210	33003	1072	BSC63
1073	19.14933	72.83743	330	33003	1073	BSC63
1091	18.93093	72.83103	0	25001	1091	BSC20
1101	18.9616	72.8359	90	27011	1101	BSC11
1103	18.9616	72.8359	330	27011	1103	BSC11
1111	18.9619	72.8239	90	27003	1111	BSC43
1112	18.9619	72.8239	225	27003	1112	BSC43
1113	18.9619	72.8239	355	27003	1113	BSC43
1131	19.16694	73.04497	30	17010	1131	BSC24
1132	19.16694	73.04497	180	17010	1132	BSC24
1151	18.9714	72.8336	90	27055	1151	BSC02
1152	18.9714	72.8336	160	27055	1152	BSC02
1161	18.9719	72.8173	50	27051	1161	BSC43
1162	18.9719	72.8173	210	27051	1162	BSC43
1163	18.9719	72.8173	330	27051	1163	BSC43
1171	19.2724	72.878	30	21001	1171	BSC77
1172	19.2724	72.878	150	21001	1172	BSC77
1173	19.2724	72.878	270	21001	1173	BSC77
1192	18.9694	72.842	210	27911	1192	BSC70
1193	18.9694	72.842	340	27911	1193	BSC70
1221	19.2354	72.8593	50	21051	1221	BSC72
1222	19.2354	72.8593	120	21051	1222	BSC72
1223	19.2354	72.8593	210	21051	1223	BSC72
1231	19.0177	72.8586	40	27911	1231	BSC26
